('1.66to1.76', 'fpfs', 4.1378528132162722e-15, 'line cutoff', 25, 'integral', 542.8950585, 'together', 5.6160496127385942e-11)
('1.67to1.77', 'fpfs', 5.0039091801042462e-15, 'line cutoff', 22, 'integral', 539.18165599999998, 'together', 5.9356352840448619e-11)
('1.68to1.78', 'fpfs', 7.5204016786513251e-16, 'line cutoff', 20, 'integral', 535.42454950000001, 'together', 8.0532153617018596e-12)
('1.69to1.79', 'fpfs', 2.2714767616426539e-16, 'line cutoff', 25, 'integral', 531.53028700000004, 'together', 3.0183967375743763e-12)
('1.7to1.8', 'fpfs', 3.2813315236174694e-16, 'line cutoff', 14, 'integral', 527.59102949999999, 'together', 2.4236815073466019e-12)
('1.71to1.81', 'fpfs', 6.7025533390379559e-15, 'line cutoff', 13, 'integral', 523.60598099999993, 'together', 4.5623461211793322e-11)
('1.72to1.82', 'fpfs', 1.2598186945814903e-14, 'line cutoff', 27, 'integral', 519.48220749999996, 'together', 1.7670241705795942e-10)
('1.73to1.83', 'fpfs', 2.9852250506554187e-14, 'line cutoff', 18, 'integral', 517.04920199999992, 'together', 2.7783148144172286e-10)
('1.74to1.84', 'fpfs', 3.8314798978469301e-14, 'line cutoff', 22, 'integral', 514.58873850000009, 'together', 4.3376000958865539e-10)
('1.75to1.85', 'fpfs', 4.1369450498232257e-14, 'line cutoff', 18, 'integral', 510.25038150000006, 'together', 3.7995800218503081e-10)
('1.76to1.86', 'fpfs', 5.766752994602789e-14, 'line cutoff', 22, 'integral', 505.86331050000001, 'together', 6.4178152735082228e-10)
('1.77to1.87', 'fpfs', 7.9972784299854868e-14, 'line cutoff', 24, 'integral', 503.20495500000004, 'together', 9.6582483179599635e-10)
('1.78to1.88', 'fpfs', 1.0134758113338667e-13, 'line cutoff', 27, 'integral', 498.637021, 'together', 1.3644627104315086e-09)
('1.79to1.89', 'fpfs', 1.1306138880137554e-13, 'line cutoff', 22, 'integral', 495.81702549999994, 'together', 1.2332707528767345e-09)
('1.8to1.9', 'fpfs', 1.2934264385520465e-13, 'line cutoff', 24, 'integral', 492.96622300000001, 'together', 1.5302773107392255e-09)
('1.81to1.91', 'fpfs', 1.3234332201776271e-13, 'line cutoff', 21, 'integral', 490.08410850000001, 'together', 1.3620465387270769e-09)
('1.82to1.92', 'fpfs', 1.4199606113190264e-13, 'line cutoff', 18, 'integral', 487.078869, 'together', 1.2449390554544759e-09)
